中央频道,#genre#
CCTV5+,http://171.108.239.76:8181/tsfile/live/1044_1.m3u8
CCTV5+,http://171.108.239.77:8181/tsfile/live/1044_1.m3u8
CCTV中国电影,http://171.108.239.73:8181/tsfile/live/1013_1.m3u8
CCTV中国电影,http://171.108.239.74:8181/tsfile/live/1013_1.m3u8
CCTV中国电影,http://171.108.239.77:8181/tsfile/live/1013_1.m3u8
CCTV中国电影,http://171.108.239.76:8181/tsfile/live/1013_1.m3u8
CGTN,http://171.108.239.82:8181/tsfile/live/1017_1.m3u8
CGTN纪实,http://171.108.239.82:8181/tsfile/live/1038_1.m3u8
CHC动作电影,http://171.108.239.73:8181/tsfile/live/1007_1.m3u8
CHC动作电影,http://171.108.239.82:8181/tsfile/live/1003_1.m3u8
CHC动作电影,http://171.108.239.74:8181/tsfile/live/1007_1.m3u8
CHC动作电影,http://171.108.239.77:8181/tsfile/live/1007_1.m3u8
CHC动作电影,http://171.108.239.76:8181/tsfile/live/1007_1.m3u8
CHC家庭影院,http://171.108.239.74:8181/tsfile/live/1006_1.m3u8
CHC家庭影院,http://171.108.239.82:8181/tsfile/live/1002_1.m3u8
CHC家庭影院,http://171.108.239.76:8181/tsfile/live/1006_1.m3u8
CHC家庭影院,http://171.108.239.77:8181/tsfile/live/1006_1.m3u8
CHC高清电影,http://171.108.239.82:8181/tsfile/live/1004_1.m3u8
CHC高清电影,http://171.108.239.74:8181/tsfile/live/1008_1.m3u8
CHC高清电影,http://171.108.239.77:8181/tsfile/live/1008_1.m3u8
CHC高清电影,http://171.108.239.73:8181/tsfile/live/1008_1.m3u8
CHC高清电影,http://171.108.239.76:8181/tsfile/live/1008_1.m3u8
CETV1,http://121.19.134.13:808/tsfile/live/1035_1.m3u8
CETV4,http://121.19.134.13:808/tsfile/live/1039_1.m3u8
CETV4,http://121.19.134.142:808/tsfile/live/1030_1.m3u8
卫视频道,#genre#
东南卫视,http://123.154.30.252:9901/tsfile/live/0131_1.m3u8
东南卫视,http://124.90.208.196:9901/tsfile/live/0123_1.m3u8
东南卫视,http://121.19.134.13:808/tsfile/live/1014_1.m3u8
东南卫视,http://121.19.134.142:808/tsfile/live/1014_1.m3u8
东方卫视,http://171.108.239.73:8181/tsfile/live/1061_1.m3u8
东方卫视,http://123.154.30.252:9901/tsfile/live/0018_1.m3u8
东方卫视,http://171.108.239.76:8181/tsfile/live/1061_1.m3u8
东方卫视,http://171.108.239.77:8181/tsfile/live/1061_1.m3u8
东方卫视,http://171.108.239.74:8181/tsfile/live/1061_1.m3u8
凤凰卫视资讯,http://171.108.239.73:8181/tsfile/live/1024_1.m3u8
凤凰卫视资讯,http://171.108.239.74:8181/tsfile/live/1024_1.m3u8
凤凰卫视资讯,http://171.108.239.76:8181/tsfile/live/1024_1.m3u8
凤凰卫视资讯,http://171.108.239.77:8181/tsfile/live/1024_1.m3u8
北京卫视,http://171.108.239.74:8181/tsfile/live/1121_1.m3u8
北京卫视,http://171.108.239.76:8181/tsfile/live/1121_1.m3u8
北京卫视,http://171.108.239.77:8181/tsfile/live/1121_1.m3u8
北京卫视,http://123.154.30.252:9901/tsfile/live/0016_1.m3u8
北京卫视,http://171.108.239.73:8181/tsfile/live/1121_1.m3u8
吉林卫视,http://121.19.134.142:808/tsfile/live/1025_1.m3u8
吉林卫视,http://121.19.134.13:808/tsfile/live/1029_1.m3u8
四川卫视,http://123.154.30.252:9901/tsfile/live/0128_1.m3u8
四川卫视,http://121.19.134.13:808/tsfile/live/1021_1.m3u8
天津卫视,http://171.108.239.73:8181/tsfile/live/1066_1.m3u8
天津卫视,http://171.108.239.74:8181/tsfile/live/1066_1.m3u8
天津卫视,http://171.108.239.77:8181/tsfile/live/1066_1.m3u8
天津卫视,http://171.108.239.76:8181/tsfile/live/1066_1.m3u8
天津卫视,http://123.154.30.252:9901/tsfile/live/0135_1.m3u8
安徽卫视,http://124.90.208.196:9901/tsfile/live/0130_1.m3u8
安徽卫视,http://121.19.134.13:808/tsfile/live/1013_1.m3u8
安徽卫视,http://121.19.134.142:808/tsfile/live/1013_1.m3u8
安徽卫视,http://123.154.30.252:9901/tsfile/live/0130_2.m3u8
山东卫视,http://123.154.30.252:9901/tsfile/live/0125_1.m3u8
山东卫视,http://121.19.134.13:808/tsfile/live/1018_1.m3u8
广东卫视,http://219.137.29.213:4433/tsfile/live/0125_1.m3u8
广东卫视,http://116.21.123.52:4433/tsfile/live/0125_1.m3u8
广东卫视,http://171.108.239.73:8181/tsfile/live/1059_1.m3u8
广东卫视,http://171.108.239.74:8181/tsfile/live/1059_1.m3u8
广东卫视,http://171.108.239.76:8181/tsfile/live/1059_1.m3u8
广西卫视,http://171.108.239.73:8181/tsfile/live/1058_1.m3u8
